RunId,iteration,Step,env_type,threshold_mean,threshold_std,observation_radius,n_agents,repression_step,instigator_threshold,dispersal_duration,cell_capacity,max_steps,seed,Mobilized,Dispersing,Sheltered,Demobilized,MobilizedProportion
138,0,99,kampung,0.35,0.1,1,200,1,0.15,3,15,100,,3,0,171,26,0.015
139,0,99,kampung,0.35,0.1,1,200,1,0.15,3,15,100,,1,0,165,34,0.005
140,0,99,kampung,0.35,0.15,0,200,1,0.15,3,15,100,,22,0,145,33,0.11
141,0,99,kampung,0.35,0.15,0,200,1,0.15,3,15,100,,28,0,130,42,0.14
142,0,99,kampung,0.35,0.15,0,200,1,0.15,3,15,100,,35,0,137,28,0.175
143,0,99,kampung,0.35,0.15,0,200,1,0.15,3,15,100,,30,0,136,34,0.15
144,0,99,kampung,0.35,0.15,0,200,1,0.15,3,15,100,,16,0,152,32,0.08
145,0,99,kampung,0.35,0.15,0,200,1,0.15,3,15,100,,40,0,135,25,0.2
146,0,99,kampung,0.35,0.15,0,200,1,0.15,3,15,100,,16,0,156,28,0.08
147,0,99,kampung,0.35,0.15,0,200,1,0.15,3,15,100,,28,0,147,25,0.14
148,0,99,kampung,0.35,0.15,0,200,1,0.15,3,15,100,,38,0,135,27,0.19
149,0,99,kampung,0.35,0.15,0,200,1,0.15,3,15,100,,19,0,135,46,0.095
150,0,99,kampung,0.35,0.15,1,200,1,0.15,3,15,100,,15,0,156,29,0.075
151,0,99,kampung,0.35,0.15,1,200,1,0.15,3,15,100,,15,0,151,34,0.075
152,0,99,kampung,0.35,0.15,1,200,1,0.15,3,15,100,,13,0,154,33,0.065
153,0,99,kampung,0.35,0.15,1,200,1,0.15,3,15,100,,25,0,134,41,0.125
154,0,99,kampung,0.35,0.15,1,200,1,0.15,3,15,100,,14,0,146,40,0.07
155,0,99,kampung,0.35,0.15,1,200,1,0.15,3,15,100,,24,0,141,35,0.12
156,0,99,kampung,0.35,0.15,1,200,1,0.15,3,15,100,,32,0,140,28,0.16
157,0,99,kampung,0.35,0.15,1,200,1,0.15,3,15,100,,12,0,163,25,0.06
158,0,99,kampung,0.35,0.15,1,200,1,0.15,3,15,100,,52,0,112,36,0.26
159,0,99,kampung,0.35,0.15,1,200,1,0.15,3,15,100,,13,0,160,27,0.065
160,0,99,kampung,0.35,0.2,0,200,1,0.15,3,15,100,,40,0,123,37,0.2
161,0,99,kampung,0.35,0.2,0,200,1,0.15,3,15,100,,49,0,115,36,0.245
162,0,99,kampung,0.35,0.2,0,200,1,0.15,3,15,100,,59,0,105,36,0.295
163,0,99,kampung,0.35,0.2,0,200,1,0.15,3,15,100,,78,0,98,24,0.39
164,0,99,kampung,0.35,0.2,0,200,1,0.15,3,15,100,,33,0,122,45,0.165
165,0,99,kampung,0.35,0.2,0,200,1,0.15,3,15,100,,41,0,126,33,0.205
166,0,99,kampung,0.35,0.2,0,200,1,0.15,3,15,100,,68,0,98,34,0.34
167,0,99,kampung,0.35,0.2,0,200,1,0.15,3,15,100,,42,0,126,32,0.21
168,0,99,kampung,0.35,0.2,0,200,1,0.15,3,15,100,,67,0,102,31,0.335
169,0,99,kampung,0.35,0.2,0,200,1,0.15,3,15,100,,73,0,98,29,0.365
170,0,99,kampung,0.35,0.2,1,200,1,0.15,3,15,100,,92,0,74,34,0.46
171,0,99,kampung,0.35,0.2,1,200,1,0.15,3,15,100,,76,0,77,47,0.38
172,0,99,kampung,0.35,0.2,1,200,1,0.15,3,15,100,,28,0,133,39,0.14
173,0,99,kampung,0.35,0.2,1,200,1,0.15,3,15,100,,51,0,116,33,0.255
174,0,99,kampung,0.35,0.2,1,200,1,0.15,3,15,100,,25,0,137,38,0.125
175,0,99,kampung,0.35,0.2,1,200,1,0.15,3,15,100,,84,0,72,44,0.42
176,0,99,kampung,0.35,0.2,1,200,1,0.15,3,15,100,,25,0,134,41,0.125
177,0,99,kampung,0.35,0.2,1,200,1,0.15,3,15,100,,105,0,71,24,0.525
178,0,99,kampung,0.35,0.2,1,200,1,0.15,3,15,100,,123,0,43,34,0.615
179,0,99,kampung,0.35,0.2,1,200,1,0.15,3,15,100,,104,0,59,37,0.52
180,0,99,mixed,0.25,0.1,0,200,1,0.15,3,15,100,,26,0,63,111,0.13
181,0,99,mixed,0.25,0.1,0,200,1,0.15,3,15,100,,12,0,76,112,0.06
182,0,99,mixed,0.25,0.1,0,200,1,0.15,3,15,100,,15,0,65,120,0.075
183,0,99,mixed,0.25,0.1,0,200,1,0.15,3,15,100,,15,0,82,103,0.075
184,0,99,mixed,0.25,0.1,0,200,1,0.15,3,15,100,,14,0,75,111,0.07
185,0,99,mixed,0.25,0.1,0,200,1,0.15,3,15,100,,24,0,59,117,0.12
186,0,99,mixed,0.25,0.1,0,200,1,0.15,3,15,100,,19,0,73,108,0.095
187,0,99,mixed,0.25,0.1,0,200,1,0.15,3,15,100,,17,0,70,113,0.085
188,0,99,mixed,0.25,0.1,0,200,1,0.15,3,15,100,,18,0,71,111,0.09
189,0,99,mixed,0.25,0.1,0,200,1,0.15,3,15,100,,19,0,84,97,0.095
190,0,99,mixed,0.25,0.1,1,200,1,0.15,3,15,100,,10,0,89,101,0.05
191,0,99,mixed,0.25,0.1,1,200,1,0.15,3,15,100,,18,0,81,101,0.09
